"index","nodoSize","levelTask","requestsNumber","meanTimeNormalPriority","standardDeviationNormalPriority","meanTimeHightPriority","standardDeviationHightPriority"
1,mixed,mixed,100,0.0358269644578298,0.0137983200133694,-0.0365666141774919,-0.0136969494660647
2,mixed,mixed,500,0.036687106762992,0.0137746141520685,-0.0368018803861406,-0.0137229581684114
3,mixed,mixed,1000,0.0443088753726747,0.0207213553534913,-0.0443340901798672,-0.0207095654078006
4,small,soft,100,0.439986067056656,0.25221166008036,-0.442024028910531,-0.269410896963515
5,small,medium,100,0.405208368195428,0.153164387713465,-0.403521288977729,-0.150335840086062
6,small,hard,100,0.401307547410329,0.152426606802008,-0.402708422766791,-0.153509354038048
7,small,soft,500,0.424512527434031,0.139986710690756,-0.425212286758423,-0.140563863758984
8,small,medium,500,0.440258743407991,0.154163776205593,-0.441561501789093,-0.154672211285007
9,small,hard,500,0.445218605380588,0.157326670481452,-0.445061915413539,-0.157433955842951
10,small,soft,1000,0.447904558428129,0.154958134913068,-0.448326276808315,-0.155035339258509
11,small,medium,1000,0.490436783183946,0.171525117780402,-0.490221341456307,-0.170283918118475
12,small,hard,1000,0.589249916121695,0.205684907262734,-0.589848192283842,-0.206252094509796
13,medium,soft,100,0.45206176050504,0.245536980140794,-0.450018127944734,-0.245010169277812
14,medium,medium,100,0.378100585619609,0.131760932513199,-0.375292835447523,-0.130296285246217
15,medium,hard,100,0.374922151009242,0.137318281304059,-0.376196156448788,-0.136802761202338
16,medium,soft,500,0.388780167235268,0.123543264645555,-0.388279298157162,-0.12327102457647
17,medium,medium,500,0.416479637532764,0.141363243328919,-0.418929225068622,-0.141665752233153
18,medium,hard,500,0.414195152775447,0.145613166717812,-0.414172314363056,-0.146617080873716
19,medium,soft,1000,0.427423355989986,0.144560079505742,-0.427058753898409,-0.144267572969645
20,medium,medium,1000,0.474469060871336,0.169583448569662,-0.474288587639067,-0.16900090578031
21,medium,hard,1000,0.598037561848428,0.207978323732355,-0.597993839735455,-0.207896176607964
22,large,soft,100,0.416452574041155,0.225190099408212,-0.415017311811447,-0.225691320458992
23,large,medium,100,0.359526535272598,0.134516928820457,-0.359137480550342,-0.1346257150663
24,large,hard,100,0.364619764354494,0.13568791936154,-0.364298373593224,-0.134673508730785
25,large,soft,500,0.383882013098399,0.122928792496098,-0.384578232224782,-0.121711964106401
26,large,medium,500,0.410152575482263,0.141914904913915,-0.410038967911402,-0.142297189039423
27,large,hard,500,0.416412012932036,0.144845857225517,-0.4168799328857,-0.145455259084787
28,large,soft,1000,0.415795330826441,0.172201103684672,-0.414685820243094,-0.171996883567273
29,large,medium,1000,0.48534905119737,0.172013543097303,-0.48526631105476,-0.171350175855629
30,large,hard,1000,0.589420316410065,0.210581325109571,-0.588448637244437,-0.210677536226177
31,mixed,mixed,100,0.421195505248176,0.226272417464292,-0.421092743767632,-0.22904152803557
32,mixed,mixed,1000,0.396957842448023,0.123807514474426,-0.397255712008476,-0.124461868592676
33,mixed,mixed,500,0.464566301239861,0.169689667141233,-0.464574424616496,-0.170378405439422
